,商品ID,賣家ID,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,商家地點,評價數量,五星,四星,三星,二星,一星,評分
131,21550854250,50991319,17,249,,FALSE,FALSE,13,FALSE,FALSE,FALSE,6,新北市三重區,6,6,0,0,0,0,5
132,14946164479,660279854,220,87,5.7,FALSE,FALSE,276,TRUE,FALSE,FALSE,99,臺中市西屯區,106,102,3,1,0,0,4.952830189
133,13547966861,9187906,105,149,,FALSE,FALSE,2362,TRUE,FALSE,FALSE,970,宜蘭縣宜蘭市,779,746,23,9,0,1,4.942233633
134,18023200245,9119846,219,93,,FALSE,FALSE,14,FALSE,FALSE,FALSE,22,桃園市蘆竹區,5,5,0,0,0,0,5
135,13450025694,512304075,60,99,,FALSE,FALSE,308,TRUE,FALSE,TRUE,98,新北市泰山區,97,92,4,1,0,0,4.93814433
136,20952570255,30811843,20941,169,,FALSE,FALSE,6,FALSE,FALSE,FALSE,15,桃園市蘆竹區,6,6,0,0,0,0,5
137,18643129985,778020444,39064,423,,FALSE,FALSE,30,FALSE,FALSE,TRUE,44,桃園市大園區,13,12,0,0,0,1,4.692307692
138,17387078461,30811843,18441,149,,FALSE,FALSE,2,FALSE,FALSE,FALSE,9,桃園市蘆竹區,1,0,1,0,0,0,4
139,14362637782,73261946,59,66,5.1,FALSE,FALSE,272,TRUE,FALSE,FALSE,57,高雄市林園區,67,63,4,0,0,0,4.940298507
140,20754977636,808359311,1088,133,,TRUE,FALSE,4,TRUE,FALSE,TRUE,4,桃園市大園區,3,3,0,0,0,0,5
141,18461553269,276900214,1438,198,6.5,FALSE,FALSE,13,TRUE,TRUE,TRUE,25,中國大陸,7,6,1,0,0,0,4.857142857
142,18248443079,611009220,5758,176,5.5,FALSE,FALSE,20,FALSE,FALSE,FALSE,17,桃園市蘆竹區,9,9,0,0,0,0,5
143,18143127469,778020444,12481,197,,FALSE,FALSE,39,FALSE,FALSE,TRUE,43,桃園市大園區,12,9,2,0,1,0,4.583333333
144,23808755082,4301250,58,139,5.3,FALSE,FALSE,25,TRUE,FALSE,FALSE,6,桃園市蘆竹區,10,8,1,0,1,0,4.6
145,18049313492,276900214,7759,97,6.3,FALSE,FALSE,199,TRUE,TRUE,FALSE,260,中國大陸,70,64,5,0,0,1,4.871428571
146,832093215,28956574,29767,89,7,FALSE,FALSE,764,FALSE,FALSE,TRUE,346,中國大陸,298,274,16,6,1,1,4.882550336
147,1674196986,171979,2143,58,,FALSE,FALSE,10779,TRUE,FALSE,FALSE,1749,雲林縣斗六市,3876,3648,169,44,6,10,4.918751612
148,19359326053,778020444,156,608,,FALSE,FALSE,1,FALSE,FALSE,TRUE,8,桃園市大園區,0,0,0,0,0,0,0
149,16386863073,2833326,65,110,3.9,FALSE,FALSE,181,TRUE,FALSE,FALSE,54,臺中市太平區,99,86,9,2,2,0,4.808080808
150,5207414319,52092724,3689,99,5.2,FALSE,FALSE,193,FALSE,FALSE,FALSE,102,中國大陸,76,65,5,4,1,1,4.736842105
151,15294797885,276900214,11149,108,6.5,FALSE,FALSE,13,TRUE,TRUE,FALSE,10,中國大陸,3,3,0,0,0,0,5
152,18349332040,6546803,5422,212,,FALSE,FALSE,255,FALSE,FALSE,FALSE,143,臺北市中正區,112,105,6,1,0,0,4.928571429
153,17484472669,16958040,12451,47,,FALSE,FALSE,187,FALSE,FALSE,TRUE,89,中國大陸,63,61,1,1,0,0,4.952380952
154,21250582338,276900214,49383,98,6.5,FALSE,FALSE,245,TRUE,TRUE,FALSE,249,中國大陸,91,84,3,2,0,2,4.835164835
155,17831133018,339715595,6252,62,3.2,FALSE,FALSE,447,FALSE,FALSE,FALSE,211,中國大陸,167,160,4,3,0,0,4.94011976
156,15714233252,586575161,105,323,5.8,FALSE,FALSE,1650,TRUE,FALSE,FALSE,1087,新北市永和區,768,743,14,9,1,1,4.94921875
157,12348732211,512304075,6,89,,FALSE,FALSE,109,TRUE,FALSE,TRUE,88,新北市泰山區,48,46,2,0,0,0,4.958333333
158,23408759762,12325503,58,139,5.3,FALSE,FALSE,185,TRUE,FALSE,FALSE,106,桃園市蘆竹區,66,63,3,0,0,0,4.954545455
159,869213220,12325503,53,155,4.8,FALSE,FALSE,2082,TRUE,FALSE,FALSE,756,桃園市蘆竹區,1011,951,48,10,0,2,4.924752475
160,857663630,9871310,25,300,,FALSE,FALSE,117,FALSE,FALSE,FALSE,112,臺南市永康區,63,63,0,0,0,0,5
161,12240039229,544350299,1009,179,8,TRUE,FALSE,161,FALSE,FALSE,FALSE,147,中國大陸,71,67,2,1,0,1,4.887323944
162,16889752560,261420464,9791,88,7.2,FALSE,FALSE,36,FALSE,FALSE,TRUE,37,中國大陸,10,10,0,0,0,0,5
163,14534061234,3147879,415,195,,FALSE,FALSE,13,FALSE,FALSE,TRUE,51,桃園市桃園區,7,7,0,0,0,0,5
164,11276600286,585625691,1924,141,5,FALSE,FALSE,141,FALSE,FALSE,TRUE,85,高雄市苓雅區,47,42,3,2,0,0,4.85106383
165,11223486638,6880635,5075,140,,FALSE,FALSE,4080,FALSE,FALSE,TRUE,828,高雄市楠梓區,1110,1098,11,1,0,0,4.988288288
166,4564184304,6880635,178,230,,FALSE,FALSE,1198,FALSE,FALSE,TRUE,432,高雄市楠梓區,566,557,9,0,0,0,4.98409894
167,21352571002,30811843,8434,199,,FALSE,FALSE,58,FALSE,FALSE,FALSE,110,桃園市蘆竹區,24,20,4,0,0,0,4.833333333
168,972732219,28956574,74994,18,4.2,FALSE,FALSE,6191,FALSE,FALSE,FALSE,618,中國大陸,1278,1191,60,21,3,3,4.903680501
169,16690963912,52092724,4954,168,6.5,FALSE,FALSE,10,FALSE,FALSE,FALSE,22,中國大陸,1,1,0,0,0,0,5
170,3661478852,73173648,1874,70,2,FALSE,FALSE,163,FALSE,FALSE,TRUE,58,桃園市蘆竹區,28,26,2,0,0,0,4.928571429
171,20243133570,778020444,93761,128,,FALSE,FALSE,27,FALSE,FALSE,TRUE,42,桃園市大園區,9,7,2,0,0,0,4.777777778
172,14395451324,778020444,5347,550,,FALSE,FALSE,1,FALSE,FALSE,TRUE,4,桃園市大園區,0,0,0,0,0,0,0
173,11248211565,52092724,10238,152,6.5,FALSE,FALSE,1021,FALSE,FALSE,FALSE,993,中國大陸,311,281,15,12,1,2,4.839228296
174,7757733844,9871310,158,270,,FALSE,FALSE,755,FALSE,FALSE,FALSE,426,臺南市永康區,349,340,6,3,0,0,4.965616046
175,18249326935,6546803,9895,279,,FALSE,FALSE,183,FALSE,FALSE,FALSE,409,臺北市中正區,77,70,3,2,0,2,4.805194805
176,4969991973,6585690,74,390,,FALSE,FALSE,159,TRUE,FALSE,FALSE,209,嘉義縣水上鄉,76,74,2,0,0,0,4.973684211
177,20764663092,904466723,71,78,3.7,FALSE,FALSE,6,FALSE,FALSE,FALSE,5,中國大陸,4,4,0,0,0,0,5
178,675934475,4763928,294,525,,FALSE,FALSE,893,TRUE,FALSE,TRUE,685,新北市新店區,456,431,12,3,0,2,4.941964286
179,18958704657,749135609,4911,209,5.6,FALSE,FALSE,55,FALSE,FALSE,FALSE,140,臺北市內湖區,31,29,2,0,0,0,4.935483871
180,1634189531,12294315,13,359,,FALSE,FALSE,213,TRUE,FALSE,FALSE,271,嘉義市西區,114,112,2,0,0,0,4.98245614
181,13697360030,5607361,105,59,8.6,TRUE,FALSE,31,TRUE,FALSE,FALSE,4,新北市新莊區,11,10,1,0,0,0,4.909090909
182,19968107717,911069521,41897,69,,FALSE,TRUE,6,FALSE,FALSE,FALSE,11,中國大陸,1,1,0,0,0,0,5
